House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_kW,W_AC_kW,UPS_kW
House20,2018-06-03 11:00:00,0.8611333333333333,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.0002799999999999999,0.0002183333333333332,0.8502999999999997
House20,2018-06-03 12:00:00,0.8444433333333332,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.0002316666666666667,0.00029833333333333345,0.8199733333333333
House20,2018-06-03 13:00:00,0.6536366666666666,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.000275,0.000195,0.6467783333333336
House20,2018-06-03 14:00:00,0.7355483333333332,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.00029166666666666675,0.0002366666666666668,0.7282399999999998
House20,2018-06-03 15:00:00,1.6062433333333332,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.8040716666666667,0.0008066666666666668,0.8026433333333333
House20,2018-06-03 16:00:00,2.041874999999999,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,1.2342883333333328,0.0013133333333333339,0.8103183333333335
House20,2018-06-03 17:00:00,0.7149599999999999,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.00031000000000000016,0.0002816666666666668,0.7073183333333332
House20,2018-06-03 18:00:00,0.5770416666666667,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.0002650000000000001,0.00029000000000000016,0.5698716666666663
House20,2018-06-03 19:00:00,0.3711466666666668,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.00021666666666666682,0.0002433333333333334,0.36466833333333337
House20,2018-06-03 20:00:00,0.32499,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.00021000000000000006,0.00025333333333333344,0.3190749999999999
House20,2018-06-03 21:00:00,0.3849433333333333,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.0002033333333333334,0.00026499999999999994,0.3787500000000002
House20,2018-06-03 22:00:00,0.4224183333333333,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.0002083333333333334,0.00027666666666666665,0.4140166666666665
House20,2018-06-03 23:00:00,1.2612766666666666,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.6511800000000001,0.0008866666666666672,0.5959283333333332
House20,2018-06-04 00:00:00,2.5187716666666664,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,1.837965,0.001976666666666666,0.6877399999999999
House20,2018-06-04 01:00:00,2.41102,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,1.7729666666666668,0.001813333333333332,0.6445316666666666
House20,2018-06-04 02:00:00,2.6378883333333336,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,1.83266,0.0019099999999999976,0.812445
House20,2018-06-04 03:00:00,2.726455,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,1.7859616666666671,0.0017933333333333321,0.9304533333333336
House20,2018-06-04 04:00:00,2.3882066666666675,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,1.7995033333333337,0.001961666666666665,0.5959166666666663
House20,2018-06-04 05:00:00,2.4935583333333318,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,1.922745,0.002254999999999998,0.5788550000000001
House20,2018-06-04 06:00:00,1.0350883333333334,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.4793499999999992,0.00067,0.5527350000000001
House20,2018-06-04 07:00:00,0.5974599999999999,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.0005050000000000002,0.0001233333333333334,0.5902600000000001
House20,2018-06-04 08:00:00,0.6739299999999999,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.0005100000000000003,0.00014999999999999993,0.6667483333333333
House20,2018-06-04 09:00:00,0.4937650000000002,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.0005150000000000003,0.00010499999999999998,0.4752849999999996
House20,2018-06-04 10:00:00,0.8451200000000001,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.0007100000000000008,0.0001833333333333334,0.8371583333333333
House20,2018-06-04 11:00:00,0.16551833333333346,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.00013666666666666666,3.666666666666668e-05,0.16358500000000026
