House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_kW,UPS_kW,Non_UPS_kW
House11,2018-06-03 14:00:00,1.838836666666667,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.3025683333333336,0.1797533333333333,0.3547266666666665
House11,2018-06-03 15:00:00,1.801421666666667,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.445845,0.11166166666666673,0.2419016666666667
House11,2018-06-03 16:00:00,1.5576283333333336,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.1591316666666671,0.1736016666666667,0.22229000000000002
House11,2018-06-03 17:00:00,1.948203333333333,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.6120716666666668,0.17989166666666664,0.1535733333333334
House11,2018-06-03 18:00:00,2.409509999999999,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.8440200000000004,0.17340166666666654,0.38985
House11,2018-06-03 19:00:00,1.8592133333333325,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.468505,0.16552166666666668,0.22198
House11,2018-06-03 20:00:00,1.992805,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.4402433333333335,0.19501,0.35530333333333336
House11,2018-06-03 21:00:00,1.8348,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.421555,0.19860666666666668,0.21156666666666665
House11,2018-06-03 22:00:00,1.8565433333333328,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.4058500000000007,0.22002833333333333,0.2278083333333334
House11,2018-06-03 23:00:00,1.4499499999999974,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,0.9085400000000008,0.16686166666666655,0.3731699999999997
House11,2018-06-04 00:00:00,0.0161,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,0.008000000000000005,0.0016000000000000007,0.006400000000000003
House11,2018-06-04 01:00:00,0.011831666666666664,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,0.004208333333333336,0.0021783333333333333,0.004434999999999998
House11,2018-06-04 02:00:00,0.003228333333333334,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,5e-06,0.001104999999999999,1.6666666666666667e-05
House11,2018-06-04 03:00:00,0.0033283333333333303,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.6666666666666667e-05,0.001138333333333334,3.6666666666666666e-05
House11,2018-06-04 04:00:00,0.002986666666666668,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.6666666666666667e-05,0.0011650000000000002,7.500000000000002e-05
House11,2018-06-04 05:00:00,0.0037500000000000007,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,0.00014166666666666662,0.0015233333333333314,0.0
House11,2018-06-04 06:00:00,1.2887433333333334,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.0828016666666664,0.15743333333333334,0.04671499999999999
House11,2018-06-04 07:00:00,1.846255,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.3377566666666667,0.19656666666666675,0.3096966666666666
House11,2018-06-04 08:00:00,1.7636983333333336,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.3760216666666667,0.16326000000000002,0.22174666666666665
House11,2018-06-04 09:00:00,0.536205,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,0.09571499999999994,0.2112500000000001,0.22667666666666664
House11,2018-06-04 10:00:00,0.461685,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,0.006346666666666662,0.2019666666666666,0.25061999999999995
House11,2018-06-04 11:00:00,0.4775033333333333,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,0.006389999999999997,0.17781166666666662,0.2905850000000001
House11,2018-06-04 12:00:00,0.7661883333333332,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,0.006389999999999999,0.2623633333333334,0.49533
House11,2018-06-04 13:00:00,0.13098333333333326,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,0.0011483333333333358,0.04754000000000012,0.08198333333333364
House11,2018-06-04 14:00:00,1.7378716666666667,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.1965933333333332,0.16882166666666662,0.3707850000000002
House11,2018-06-04 15:00:00,1.97553,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.474311666666667,0.2354233333333333,0.2637116666666667
House11,2018-06-04 16:00:00,1.9211716666666667,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.5286166666666663,0.17175,0.21800833333333333
House11,2018-06-04 17:00:00,2.347218333333333,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.9815666666666665,0.16917333333333334,0.1937616666666666
House11,2018-06-04 18:00:00,2.0545733333333334,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.645625,0.21183500000000005,0.1941200000000001
House11,2018-06-04 19:00:00,1.9445599999999998,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.4894083333333334,0.23388833333333345,0.21844500000000008
House11,2018-06-04 20:00:00,1.9693016666666665,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.4622916666666668,0.2136516666666667,0.2907849999999999
House11,2018-06-04 21:00:00,1.802385,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.4463,0.11774999999999998,0.2354233333333333
House11,2018-06-04 22:00:00,1.7799700000000005,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.4419899999999999,0.11321999999999995,0.222105
House11,2018-06-04 23:00:00,1.9289633333333327,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.4228666666666665,0.21492666666666665,0.28847166666666674
House11,2018-06-05 00:00:00,2.2885700000000004,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.5608316666666664,0.2496833333333333,0.4760816666666666
House11,2018-06-05 01:00:00,2.007446666666666,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.3608816666666663,0.20139166666666666,0.4432816666666667
