House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,Laundary_kW,Kitchen_kW,AC_BR_kW,AC_GR_kW,AC_SR_kW,Refrigerator_kW,Kitchen2_kW,AC_BR_kW.1,AC_MBR_kW
House16,2018-06-03 01:00:00,2.188716666666666,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.22950166666666666,0.0017649999999999999,0.5273216666666667,0.014800000000000002,0.0006383333333333332,0.06878166666666667,0.0005800000000000003,0.0010633333333333328,0.005330000000000003
House16,2018-06-03 02:00:00,3.025945000000001,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.3688416666666667,0.1270716666666667,0.5630916666666667,0.2289916666666668,0.0006449999999999997,0.057976666666666676,0.12072,0.0011566666666666663,0.005308333333333336
House16,2018-06-03 03:00:00,2.7720583333333333,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.3796099999999999,0.088475,0.5213683333333333,0.01583666666666667,0.0006983333333333327,0.06477833333333334,0.4966449999999991,0.0016033333333333349,0.005386666666666674
House16,2018-06-03 04:00:00,2.2308966666666663,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.15793166666666664,0.049994999999999984,0.5662516666666666,0.15515166666666652,0.0006016666666666665,0.06351166666666667,0.0005200000000000003,0.0012449999999999994,0.00531166666666667
House16,2018-06-03 05:00:00,1.443023333333333,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.2350416666666667,0.051685000000000016,0.5187733333333333,0.014766666666666659,0.0007800000000000001,0.05689833333333336,0.0004683333333333335,0.0013716666666666662,0.005441666666666666
House16,2018-06-03 06:00:00,1.2977316666666672,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.16673499999999986,0.05153666666666665,0.5038983333333333,0.015243333333333338,0.000993333333333334,0.08287500000000002,0.000451666666666667,0.001356666666666666,0.005383333333333336
House16,2018-06-03 07:00:00,1.3655783333333331,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.25792000000000004,0.09486333333333333,0.5156633333333335,0.014496666666666668,0.0007633333333333332,0.09349833333333332,0.0005133333333333334,0.0012750000000000005,0.005288333333333337
House16,2018-06-03 08:00:00,1.156288333333333,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.2508833333333333,0.08153333333333336,0.5386449999999999,0.014411666666666672,0.0007116666666666662,0.070475,0.0005500000000000001,0.001205000000000001,0.005311666666666668
House16,2018-06-03 09:00:00,1.6305349999999996,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.4636,0.04698000000000002,0.5637650000000001,0.4100816666666666,0.0006400000000000003,0.05556166666666667,0.0005549999999999999,0.0012500000000000011,0.005290000000000002
House16,2018-06-03 10:00:00,2.2341733333333336,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.4196566666666667,0.08162166666666668,0.6448533333333335,1.023531666666667,0.0005333333333333336,0.056895,0.0005816666666666671,0.0012116666666666669,0.005288333333333334
