House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_DR_kW,UPS_kW,LR_kW,Kitchen_kW,AC_DNR_kW,AC_BR_kW
House1,2018-07-17 19:00:00,2.5367816666666667,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.0003900000000000002,0.2807783333333334,0.3363066666666665,0.21266999999999997,0.0035800000000000007,1.201888333333333
House1,2018-07-17 20:00:00,3.4640966666666664,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.3579883333333332,0.2709016666666667,0.3578566666666667,0.26037000000000005,0.009588333333333329,1.4800533333333337
House1,2018-07-17 21:00:00,2.6822349999999995,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00035500000000000033,0.3323599999999999,0.320875,0.2899616666666667,0.005989999999999998,0.7777683333333335
House1,2018-07-17 22:00:00,1.8560933333333336,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.0004266666666666672,0.2739733333333334,0.34235666666666675,0.27229333333333344,0.006296666666666664,0.00036500000000000014
House1,2018-07-17 23:00:00,1.911608333333333,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00019166666666666684,0.2046616666666667,0.2527183333333334,0.25499,0.007745000000000002,0.4817500000000001
House1,2018-07-18 00:00:00,1.5431016666666668,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,5.83333333333333e-05,0.15823333333333334,0.13337833333333335,0.09185666666666656,0.0029666666666666674,0.6512016666666665
House1,2018-07-18 01:00:00,1.1740783333333331,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,9.333333333333336e-05,0.14979,0.139195,0.11408,0.002471666666666666,0.2525633333333334
House1,2018-07-18 02:00:00,1.1532833333333332,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,9.833333333333334e-05,0.150335,0.14017000000000002,0.09007500000000004,0.002381666666666666,0.2504383333333334
House1,2018-07-18 03:00:00,1.1662950000000003,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00010500000000000003,0.15132166666666666,0.14161166666666666,0.0975266666666667,0.002380000000000001,0.24874000000000004
House1,2018-07-18 04:00:00,1.2078799999999998,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,8.666666666666667e-05,0.15051333333333333,0.14114666666666667,0.16913666666666666,0.004131666666666669,0.22341166666666668
House1,2018-07-18 05:00:00,1.1458399999999995,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00010499999999999998,0.15134499999999998,0.14220833333333333,0.12723999999999994,0.002985000000000001,0.19832000000000008
House1,2018-07-18 06:00:00,1.258528333333333,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.0001166666666666666,0.1541333333333333,0.18133666666666665,0.1047233333333333,0.003046666666666666,0.2556366666666667
