House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_BR_kW,AC_LR_kW,Kitchen_kW,AC_BR_kW.1,BR_kW
House24,2018-10-09 09:00:00,0.4285966666666667,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.13520833333333326,0.12040333333333335,0.03822333333333332,0.00015000000000000004,0.001960000000000001
House24,2018-10-09 10:00:00,0.5320333333333332,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.22320000000000004,0.21962333333333325,0.020546666666666668,8.500000000000002e-05,0.0018866666666666647
House24,2018-10-09 11:00:00,0.2994450000000001,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.04990000000000002,0.04798999999999996,0.060635000000000015,0.0001200000000000001,0.0018199999999999985
House24,2018-10-09 12:00:00,0.2605883333333333,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.039706666666666696,0.0224466666666666,0.03296833333333335,4.666666666666665e-05,0.001738333333333331
House24,2018-10-09 13:00:00,0.18428333333333327,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.0003266666666666669,0.0026400000000000013,0.028573333333333287,4.500000000000001e-05,0.0017849999999999984
House24,2018-10-09 14:00:00,0.3943583333333334,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.00036,0.0028450000000000003,0.023453333333333333,0.00022666666666666666,0.2636166666666667
House24,2018-10-09 15:00:00,0.5257283333333336,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.0004383333333333338,0.0031166666666666647,0.037988333333333325,0.0002316666666666664,0.2730599999999998
House24,2018-10-09 16:00:00,0.8521766666666666,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.0006666666666666664,0.0031083333333333327,0.03364333333333333,0.0003799999999999999,0.5521133333333332
House24,2018-10-09 17:00:00,1.12622,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.0007399999999999999,0.0031933333333333353,0.027243333333333324,0.0005816666666666665,0.8642766666666666
House24,2018-10-09 18:00:00,1.759356666666667,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.31682000000000005,0.16140500000000005,0.02417166666666669,0.0009583333333333334,0.937395
