House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_LR_kW,AC_DR_kW,AC_BR_kW,Kitchen_kW,UPS_kW
House2,2018-06-04 13:00:00,0.1874716666666668,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-04 14:00:00,0.0008483333333333332,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-04 15:00:00,0.071405,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-04 16:00:00,1.290031666666667,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-04 17:00:00,1.3022483333333337,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-04 18:00:00,1.0026666666666666,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-04 19:00:00,0.6380766666666666,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-04 20:00:00,0.6281866666666664,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-04 21:00:00,0.7309116666666668,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-04 22:00:00,1.0427883333333334,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-04 23:00:00,0.8334150000000002,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-05 00:00:00,0.5203466666666666,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-05 01:00:00,0.5394950000000001,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-05 02:00:00,0.8422949999999998,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-05 03:00:00,0.9274533333333336,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-05 04:00:00,0.397335,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-05 05:00:00,0.4719183333333333,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
