House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,WP_kW,Kitchen_kW,AC_BR_kW
House21,2018-06-03 21:00:00,0.8512383333333334,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.018161666666666663,0.20589166666666664,0.0008850000000000002
House21,2018-06-03 22:00:00,0.9673016666666666,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.1383050000000001,0.22255,0.0006166666666666666
House21,2018-06-03 23:00:00,0.6628516666666666,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.004103333333333332,0.2096966666666667,0.0009316666666666668
House21,2018-06-04 00:00:00,0.8153199999999999,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.0035616666666666657,0.2338183333333333,0.0008216666666666665
House21,2018-06-04 01:00:00,1.6025833333333337,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.003486666666666667,0.2264250000000001,0.0014016666666666654
House21,2018-06-04 02:00:00,2.6303983333333343,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.0036633333333333327,0.2569350000000001,0.001428333333333333
House21,2018-06-04 03:00:00,2.574968333333333,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.003536666666666665,0.2354950000000001,0.0010233333333333336
House21,2018-06-04 04:00:00,3.410165,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.00014000000000000004,0.2252600000000001,1.5052816666666666
House21,2018-06-04 05:00:00,3.5835550000000014,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,9.66666666666667e-05,0.22689,1.9973199999999995
House21,2018-06-04 06:00:00,3.0643216666666664,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,9.166666666666668e-05,0.2249399999999999,1.9604
House21,2018-06-04 07:00:00,3.3525016666666674,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.00012000000000000004,0.21924333333333332,2.02967
House21,2018-06-04 08:00:00,1.5780600000000002,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,8.666666666666663e-05,0.20368666666666665,0.3061200000000007
House21,2018-06-04 09:00:00,1.7448550000000005,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.09952833333333336,0.2473783333333333,0.0006950000000000001
House21,2018-06-04 10:00:00,1.1574416666666665,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.010731666666666645,0.24688000000000002,0.0010066666666666663
House21,2018-06-04 11:00:00,1.2261699999999989,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,3.8333333333333334e-05,0.1568833333333335,0.0007549999999999995
House21,2018-06-04 12:00:00,0.25451166666666664,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,1.6666666666666667e-05,0.08530666666666667,0.0005099999999999998
House21,2018-06-04 13:00:00,0.9091466666666664,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.05570833333333338,0.2658766666666667,0.0011016666666666664
House21,2018-06-04 14:00:00,0.1634799999999994,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,2.5000000000000005e-05,0.03770499999999987,0.00015333333333333334
House21,2018-06-04 15:00:00,0.7966133333333333,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,8.333333333333336e-05,0.18537833333333328,0.0009766666666666665
House21,2018-06-04 16:00:00,0.9949133333333332,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.0015516666666666667,0.237665,0.0009216666666666672
House21,2018-06-04 17:00:00,0.9976466666666666,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.0885650000000001,0.22825666666666675,0.00032666666666666657
House21,2018-06-04 18:00:00,1.0242233333333333,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.04815500000000004,0.24144666666666664,0.0003666666666666667
