House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_BR_kW,AC_BR_kW.1
House25,2018-06-04 00:00:00,1.5662566666666666,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.0007049999999999995,1.1698166666666665
House25,2018-06-04 01:00:00,1.6573933333333328,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.0007399999999999999,1.1632533333333337
House25,2018-06-04 02:00:00,1.497288333333333,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.0006883333333333329,1.1514966666666664
House25,2018-06-04 03:00:00,1.9334366666666667,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.8667533333333329,0.7461966666666666
House25,2018-06-04 04:00:00,2.198093333333332,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.7499216666666667,1.1285850000000002
House25,2018-06-04 05:00:00,1.413301666666667,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.09234000000000027,0.9892516666666664
House25,2018-06-04 06:00:00,0.006000000000000004,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.0,0.0045999999999999965
House25,2018-06-04 07:00:00,2.555785,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.97968,1.0342799999999999
House25,2018-06-04 08:00:00,1.5396299999999996,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.0006333333333333331,1.1480150000000005
House25,2018-06-04 09:00:00,1.5309983333333332,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.4188283333333324,0.7610150000000001
House25,2018-06-04 10:00:00,0.4314050000000001,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.0007216666666666664,0.0012650000000000005
House25,2018-06-04 11:00:00,0.1290850000000001,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.0001583333333333333,0.0002633333333333333
House25,2018-06-04 12:00:00,1.4987166666666665,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.0011500000000000002,0.0018716666666666675
House25,2018-06-04 13:00:00,1.8881433333333333,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.8456183333333332,0.6517066666666669
House25,2018-06-04 14:00:00,2.654506666666667,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,1.0152233333333327,1.3002383333333334
House25,2018-06-04 15:00:00,0.7404666666666668,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.0006266666666666668,0.3930833333333333
House25,2018-06-04 16:00:00,0.06485499999999983,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,2e-05,0.05093499999999988
House25,2018-06-04 17:00:00,3.012703333333332,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,1.5449833333333338,0.9033866666666672
