House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,Kitchen_kW,AC_BR_kW,Refrigerator_kW
House42,2018-06-04 07:00:00,0.0076149999999999985,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0,0.0,0.0020000000000000013
House42,2018-06-04 08:00:00,0.5582100000000002,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0002366666666666665,0.0005700000000000003,0.09300666666666672
House42,2018-06-04 09:00:00,0.4796883333333334,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.004296666666666667,0.0003900000000000002,0.09840499999999998
House42,2018-06-04 10:00:00,0.1278433333333334,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.009978333333333318,9.833333333333336e-05,0.025473333333333337
House42,2018-06-04 11:00:00,0.620505,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.012595000000000002,0.0006149999999999997,0.09128500000000003
House42,2018-06-04 12:00:00,0.024035000000000008,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.004733333333333336,6.6666666666666675e-06,0.004046666666666664
House42,2018-06-04 13:00:00,0.5768433333333334,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.04761166666666667,0.0005733333333333336,0.08752333333333334
House42,2018-06-04 14:00:00,0.4821800000000001,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.006241666666666671,0.02703166666666666,0.09800833333333332
House42,2018-06-04 15:00:00,1.9290850000000004,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.008579999999999999,1.5045133333333334,0.06559166666666669
House42,2018-06-04 16:00:00,1.189248333333333,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.01601000000000001,0.7867566666666672,0.07999833333333338
House42,2018-06-04 17:00:00,2.17751,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.07322166666666667,1.7325466666666665,0.10778833333333332
House42,2018-06-04 18:00:00,1.3258350000000003,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0236733333333333,0.9980183333333336,0.08573333333333337
House42,2018-06-04 19:00:00,0.2783966666666667,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0006433333333333331,8.333333333333334e-06,0.09814333333333332
House42,2018-06-04 20:00:00,0.2254450000000001,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0005050000000000001,8.333333333333334e-06,0.04254666666666667
House42,2018-06-04 21:00:00,0.25555,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0006033333333333338,6.6666666666666675e-06,0.08660999999999999
House42,2018-06-04 22:00:00,0.8331966666666666,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.00515,0.4824283333333333,0.06625
House42,2018-06-04 23:00:00,1.511173333333333,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.006689999999999999,0.9375650000000004,0.09973666666666664
House42,2018-06-05 00:00:00,0.3603916666666666,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0003100000000000004,0.00024166666666666675,0.0522983333333333
House42,2018-06-05 01:00:00,0.3917700000000001,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0003716666666666666,0.0002350000000000001,0.07931333333333332
House42,2018-06-05 02:00:00,0.6172366666666668,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.12485333333333334,0.0002316666666666667,0.08821833333333333
House42,2018-06-05 03:00:00,0.4366816666666668,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0013200000000000009,0.00025666666666666687,0.057285
