House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_kW,AC_kW.1,Kitchen_kW
House3,2018-06-03 09:00:00,6.569301666666667,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.0943266666666671,0.3698,1.1710899999999995
House3,2018-06-03 10:00:00,7.345443333333333,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.9821333333333344,0.3752383333333332,1.4593399999999994
House3,2018-06-03 11:00:00,7.641963333333331,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,2.156628333333333,0.37178,1.4419600000000001
House3,2018-06-03 12:00:00,8.015006666666666,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,2.1943733333333326,0.3543916666666666,1.521931666666667
House3,2018-06-03 13:00:00,8.072841666666667,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,2.2362416666666682,0.3544950000000001,1.5736466666666664
House3,2018-06-03 14:00:00,7.764871666666666,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,2.229893333333334,0.3598466666666667,1.2623316666666666
House3,2018-06-03 15:00:00,6.706649999999998,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.6994133333333332,0.379045,0.8629483333333333
House3,2018-06-03 16:00:00,5.1368350000000005,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.2950616666666666,0.38291499999999984,0.9662299999999999
House3,2018-06-03 17:00:00,3.2307616666666665,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.1816683333333338,0.3948683333333333,0.3816950000000002
House3,2018-06-03 18:00:00,3.889825000000001,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,2.1176183333333336,0.4116566666666669,0.5331966666666665
House3,2018-06-03 19:00:00,4.5544633333333335,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,2.063878333333334,0.42643,0.58153
House3,2018-06-03 20:00:00,5.904213333333331,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,2.0539366666666665,0.4151583333333335,0.4285683333333333
House3,2018-06-03 21:00:00,5.888483333333332,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.32228,0.4278716666666667,0.4477833333333336
House3,2018-06-03 22:00:00,6.667083333333332,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.0443600000000002,0.4562566666666666,0.7962499999999999
House3,2018-06-03 23:00:00,6.752029999999998,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.91707,0.4473300000000001,0.4870733333333333
House3,2018-06-04 00:00:00,6.5572849999999985,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,2.002715,0.4208533333333335,0.4561683333333333
House3,2018-06-04 01:00:00,6.031398333333333,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.0405933333333333,0.4156249999999998,0.4179083333333333
House3,2018-06-04 02:00:00,6.165916666666665,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.4832950000000005,0.4081266666666668,0.5236166666666665
House3,2018-06-04 03:00:00,4.9312299999999984,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.155535,0.41571666666666657,0.8111866666666667
House3,2018-06-04 04:00:00,6.184975,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,0.9474733333333332,0.4038933333333333,1.139638333333333
House3,2018-06-04 05:00:00,4.7357200000000015,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,0.8163416666666662,0.3999283333333335,0.3215566666666666
House3,2018-06-04 06:00:00,5.414396666666666,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,0.8535300000000002,0.4138000000000001,0.4050849999999999
House3,2018-06-04 07:00:00,5.216125000000001,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,0.8611466666666661,0.40544833333333336,0.3807883333333334
House3,2018-06-04 08:00:00,5.124025,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,0.9212033333333332,0.394305,0.3727249999999999
House3,2018-06-04 09:00:00,5.5869066666666685,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.7493749999999997,0.4250566666666667,1.0743350000000005
House3,2018-06-04 10:00:00,2.9542566666666663,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.3791433333333336,0.4867600000000002,0.6061600000000004
House3,2018-06-04 11:00:00,3.547813333333332,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.2772583333333332,0.41081666666666666,0.5659949999999999
