House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,WP_kW,Kitchen_kW,AC_kW,AC_kW.1
House37,2018-06-03 18:00:00,0.91201,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.0021216666666666662,0.3670766666666658,0.2489383333333334,0.062025
House37,2018-06-03 19:00:00,0.2978416666666666,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.0021283333333333336,0.002123333333333333,0.2072016666666667,0.08638833333333333
House37,2018-06-03 20:00:00,0.2492583333333333,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.002051666666666668,0.0020750000000000005,0.1645833333333334,0.07125333333333335
House37,2018-06-03 21:00:00,0.2385883333333333,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.002016666666666668,0.002178333333333333,0.15773833333333342,0.06565166666666668
House37,2018-06-03 22:00:00,1.6525183333333335,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.0021633333333333326,1.2527933333333334,0.18113166666666672,0.19639166666666666
House37,2018-06-03 23:00:00,2.2264433333333336,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.0020333333333333345,1.7412683333333336,0.187645,0.21157
House37,2018-06-04 00:00:00,2.007975,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.002101666666666667,1.6298933333333336,0.17115833333333327,0.20482166666666665
House37,2018-06-04 01:00:00,2.0471133333333333,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.002208333333333332,1.6896850000000003,0.14993666666666666,0.2052833333333334
House37,2018-06-04 02:00:00,2.148111666666667,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.0021399999999999987,1.6610200000000002,0.1768316666666667,0.20828499999999994
House37,2018-06-04 03:00:00,1.8932816666666663,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.0022133333333333323,1.4699516666666668,0.15945666666666652,0.2117333333333334
House37,2018-06-04 04:00:00,1.7758816666666668,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.0021866666666666645,1.4040483333333331,0.1775516666666667,0.19046166666666672
House37,2018-06-04 05:00:00,1.5299216666666675,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.0025366666666666684,1.1341883333333336,0.2143083333333333,0.17888833333333334
House37,2018-06-04 06:00:00,1.4499133333333334,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.002541666666666669,1.08494,0.181645,0.18078666666666668
House37,2018-06-04 07:00:00,1.7581783333333334,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.002291666666666664,1.4305750000000002,0.14388166666666669,0.18131000000000005
House37,2018-06-04 08:00:00,1.825443333333333,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.002268333333333332,1.4369733333333337,0.16912000000000002,0.17570166666666662
House37,2018-06-04 09:00:00,1.4125600000000005,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.002575,0.8665400000000002,0.15968166666666667,0.17397166666666666
House37,2018-06-04 10:00:00,0.3399849999999998,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.001013333333333335,0.0005433333333333333,0.06732166666666674,0.055015000000000085
House37,2018-06-04 11:00:00,0.8177599999999999,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.0020800000000000007,0.0014200000000000007,0.1736216666666668,0.14031999999999994
House37,2018-06-04 12:00:00,1.3288849999999996,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.0029666666666666674,0.0017716666666666655,0.24528166666666665,0.18482
House37,2018-06-04 13:00:00,1.8984366666666663,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.0028449999999999994,0.7629016666666667,0.2232933333333333,0.1896299999999999
House37,2018-06-04 14:00:00,2.396623333333332,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.002275000000000001,1.8830783333333336,0.21647166666666667,0.09007333333333337
House37,2018-06-04 15:00:00,0.8470599999999995,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.0007650000000000001,0.6863033333333329,0.07778666666666653,0.08220500000000001
House37,2018-06-04 16:00:00,2.0948066666666665,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.002271666666666666,1.4463450000000004,0.17481000000000002,0.203345
House37,2018-06-04 17:00:00,1.818828333333333,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.002668333333333334,0.9310700000000004,0.23121166666666665,0.1422283333333333
House37,2018-06-04 18:00:00,1.4670900000000002,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.0032,0.0019966666666666674,0.2530100000000001,0.08020499999999997
House37,2018-06-04 19:00:00,2.692313333333332,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.0041683333333333355,0.8402049999999999,0.224425,0.14137833333333336
House37,2018-06-04 20:00:00,2.46367,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.002271666666666665,1.7844316666666669,0.22458833333333328,0.18955
House37,2018-06-04 21:00:00,2.4263950000000003,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.002144999999999998,1.7578783333333337,0.22345,0.19175
House37,2018-06-04 22:00:00,2.229563333333333,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.001995,1.736595,0.21049,0.10028666666666668
