House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_LR_kW,AC_BR_kW,UPS_kW
House13,2018-06-03 17:00:00,1.0110366666666666,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0004499999999999995,0.3908800000000001,0.18241500000000002
House13,2018-06-03 18:00:00,0.5476800000000001,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0002416666666666667,0.05787833333333334,0.2899783333333333
House13,2018-06-03 19:00:00,0.5852883333333334,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.00012333333333333329,0.03186333333333334,0.3369183333333332
House13,2018-06-03 20:00:00,0.8602033333333331,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0003099999999999998,0.2006916666666666,0.18055
House13,2018-06-03 21:00:00,0.9098616666666668,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.00021666666666666674,0.13888833333333336,0.37640999999999997
House13,2018-06-03 22:00:00,1.1648233333333329,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.00033999999999999997,0.3219833333333331,0.2723183333333334
House13,2018-06-03 23:00:00,1.3051250000000003,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.00041499999999999984,0.375145,0.2142083333333333
House13,2018-06-04 00:00:00,1.3309233333333337,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0004016666666666667,0.4820766666666666,0.27031166666666656
House13,2018-06-04 01:00:00,1.2253483333333333,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0005249999999999996,0.5554116666666669,0.10868833333333328
House13,2018-06-04 02:00:00,1.3723033333333332,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0004833333333333333,0.5404033333333335,0.2269466666666667
House13,2018-06-04 03:00:00,1.1288533333333333,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.00036833333333333336,0.3615833333333335,0.21631833333333325
House13,2018-06-04 04:00:00,0.9098499999999998,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0003566666666666666,0.33535,0.16911833333333331
House13,2018-06-04 05:00:00,0.8873700000000001,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0003450000000000001,0.3240233333333332,0.16819666666666672
House13,2018-06-04 06:00:00,0.9054016666666668,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.00038666666666666656,0.3372933333333332,0.15964333333333333
House13,2018-06-04 07:00:00,1.2853133333333335,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.00043500000000000017,0.4259616666666667,0.183605
House13,2018-06-04 08:00:00,1.0473566666666667,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0004166666666666666,0.38189,0.1863033333333333
House13,2018-06-04 09:00:00,0.8835650000000004,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0005099999999999999,0.3932033333333333,0.08193166666666668
House13,2018-06-04 10:00:00,1.0112633333333334,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0003616666666666666,0.33626166666666696,0.2999399999999998
House13,2018-06-04 11:00:00,0.5606883333333333,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0003033333333333331,0.12998666666666664,0.1910133333333333
House13,2018-06-04 12:00:00,0.4564333333333333,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0002133333333333334,0.01534500000000001,0.20881999999999998
House13,2018-06-04 13:00:00,0.0579516666666666,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,5.1666666666666664e-05,0.0011500000000000026,0.01880833333333326
House13,2018-06-04 14:00:00,0.5698300000000002,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0001383333333333333,0.02991666666666666,0.34680333333333346
House13,2018-06-04 15:00:00,1.26834,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.000425,0.41319500000000015,0.19945000000000004
House13,2018-06-04 16:00:00,0.8944683333333333,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.00032500000000000004,0.18360333333333329,0.2594283333333333
House13,2018-06-04 17:00:00,1.2952916666666667,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0005549999999999998,0.4902633333333334,0.1623216666666667
