House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_LR_kW,AC_DR_kW,AC_BR_kW,UPS_kW,WD_kW,Refrigerator_kW
House31,2018-06-03 23:00:00,2.903048333333334,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.002598333333333334,0.7595316666666669,0.6648083333333337,0.23110333333333336,0.09656666666666663,0.21974000000000002
House31,2018-06-04 00:00:00,4.191011666666667,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.003759999999999999,1.4933016666666663,0.6853916666666666,0.1628883333333334,0.11315499999999995,0.1832183333333333
House31,2018-06-04 01:00:00,3.2381550000000003,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0031616666666666672,1.0413933333333336,0.6538166666666666,0.17038666666666666,0.025820000000000003,0.189825
House31,2018-06-04 02:00:00,2.7185366666666657,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.003016666666666666,0.6980499999999998,0.5376516666666669,0.15095666666666666,0.11567999999999999,0.3662616666666668
House31,2018-06-04 03:00:00,1.6733733333333334,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0017599999999999992,0.5470950000000001,0.2579233333333331,0.16893166666666662,0.12682666666666667,0.33470500000000003
House31,2018-06-04 04:00:00,3.7549516666666665,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0020616666666666648,0.5713266666666665,0.00609666666666667,0.2938050000000001,0.03457166666666675,0.2380583333333333
House31,2018-06-04 05:00:00,2.977366666666668,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.001918333333333332,0.5059633333333333,0.0060666666666666655,0.19953333333333328,0.07045499999999999,0.14764833333333335
House31,2018-06-04 06:00:00,2.8621416666666657,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0017283333333333324,0.4414266666666668,0.0060533333333333324,0.20065999999999998,4e-05,0.13650833333333334
House31,2018-06-04 07:00:00,2.728088333333333,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0017533333333333324,0.32225833333333337,0.0060750000000000005,0.196065,7.499999999999998e-05,0.12791666666666668
House31,2018-06-04 08:00:00,3.3105583333333337,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0021899999999999992,0.4804233333333333,0.0060166666666666676,0.1791316666666667,9.333333333333336e-05,0.12110833333333333
House31,2018-06-04 09:00:00,3.4953616666666663,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0018516666666666675,0.4888083333333332,0.005978333333333336,0.18897833333333333,6.499999999999995e-05,0.12402666666666665
House31,2018-06-04 10:00:00,3.823921666666668,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.00161,0.507145,0.0058566666666666715,0.21483833333333333,0.14529,0.12167833333333335
