House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_Reg_kW,AC_MB_kW,AC_BR_kW,WP_kW,AC_kW
House32,2018-06-04 07:00:00,1.897036666666667,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.17530833333333332,0.5624300000000001,0.5213300000000001,0.4475850000000002,0.0
House32,2018-06-04 08:00:00,1.5121250000000004,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.09974333333333336,0.5676333333333333,0.5969233333333333,0.040760000000000005,0.0
House32,2018-06-04 09:00:00,0.7237783333333339,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.004629999999999989,0.2883533333333327,0.3069733333333336,0.017241666666666676,0.0
House32,2018-06-04 10:00:00,1.6566816666666666,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.15685999999999992,0.7226633333333332,0.59319,0.050201666666666665,0.0
House32,2018-06-04 11:00:00,2.074168333333333,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.19473833333333332,0.6377933333333332,0.6898466666666667,0.037443333333333335,0.0
House32,2018-06-04 12:00:00,2.5791716666666664,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.4601133333333334,0.6686133333333335,0.6903233333333334,0.2730483333333334,0.0
House32,2018-06-04 13:00:00,2.28974,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.5510999999999999,0.7457983333333335,0.5969916666666669,0.03394,0.0
House32,2018-06-04 14:00:00,0.4501649999999999,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.09083999999999996,0.11098666666666662,0.10385000000000028,0.0028983333333333287,0.0
House32,2018-06-04 15:00:00,1.0161933333333335,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.27052666666666675,0.5605183333333332,0.07541499999999997,0.047908333333333344,0.0
House32,2018-06-04 16:00:00,1.4947700000000006,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.5370666666666668,0.8170600000000002,0.01343666666666667,0.04332666666666666,0.0
House32,2018-06-04 17:00:00,1.3076816666666669,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.479705,0.498395,0.021001666666666675,0.19751666666666667,0.0
House32,2018-06-04 18:00:00,1.3566316666666665,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.4870583333333332,0.09386500000000003,0.010413333333333349,0.5707133333333334,0.0
House32,2018-06-04 19:00:00,1.083848333333336,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.16830333333333278,0.5435616666666669,0.004373333333333325,0.055344999999999984,0.0
House32,2018-06-04 20:00:00,0.0151,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.0018999999999999991,0.007500000000000007,0.00011500000000000004,0.0002000000000000001,0.0
