House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_DR_kW,UPS_kW,Kitchen_kW,AC_MBR_kW
House6,2018-11-16 19:00:00,0.004200000000000004,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,0.0,0.003200000000000001,0.0004000000000000002,0.0
House6,2018-11-16 20:00:00,0.004200000000000004,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,0.0,0.003200000000000001,0.0004000000000000002,0.0
House6,2018-11-16 21:00:00,0.004200000000000004,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,0.0,0.003200000000000001,0.0004000000000000002,0.0
House6,2018-11-16 22:00:00,0.37489833333333344,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,4.1666666666666665e-05,0.21277,0.06859,0.000225
House6,2018-11-16 23:00:00,0.9519033333333335,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,9.000000000000002e-05,0.5093916666666665,0.1496866666666667,0.0005483333333333336
House6,2018-11-17 00:00:00,0.7726183333333335,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,0.00010000000000000003,0.3427833333333334,0.1377433333333333,0.0005216666666666667
House6,2018-11-17 01:00:00,0.8479966666666668,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,0.00010000000000000003,0.5032066666666665,0.11905833333333335,0.00047666666666666707
House6,2018-11-17 02:00:00,0.5413983333333334,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,7.999999999999999e-05,0.35590999999999995,0.07315166666666667,0.0002033333333333333
House6,2018-11-17 03:00:00,0.9903150000000004,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,5.999999999999996e-05,0.4779433333333334,0.12979833333333335,0.0003533333333333333
House6,2018-11-17 04:00:00,0.6222833333333335,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,9.500000000000003e-05,0.3570116666666668,0.09708166666666664,0.0002233333333333332
House6,2018-11-17 05:00:00,0.6823283333333332,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,2.5000000000000008e-05,0.34791,0.12387166666666664,0.000275
House6,2018-11-17 06:00:00,0.6602066666666667,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,0.0,0.40612833333333337,0.056351666666666675,8.666666666666667e-05
House6,2018-11-17 07:00:00,0.708938333333333,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,0.0,0.43985833333333335,0.11590666666666664,0.00010833333333333336
House6,2018-11-17 08:00:00,0.5977883333333334,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,0.0,0.3957866666666667,0.05291833333333333,0.00020833333333333346
House6,2018-11-17 09:00:00,0.6797416666666667,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,0.0,0.3879183333333334,0.09530833333333333,0.00015000000000000004
House6,2018-11-17 10:00:00,0.4788800000000001,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,2.0000000000000005e-05,0.2961516666666666,0.059831666666666686,6.833333333333335e-05
House6,2018-11-17 11:00:00,0.6241,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,7.666666666666667e-05,0.2790849999999999,0.0978566666666667,0.00014
House6,2018-11-17 12:00:00,0.768875,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,3.3333333333333333e-06,0.5030766666666667,0.10594333333333336,0.0001566666666666666
House6,2018-11-17 13:00:00,0.5931216666666668,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,0.0,0.4247233333333334,0.04826166666666666,0.00020166666666666683
House6,2018-11-17 14:00:00,0.7091533333333335,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,0.0,0.39029833333333336,0.10438333333333334,0.00016000000000000004
House6,2018-11-17 15:00:00,0.4547149999999999,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,6.6666666666666675e-06,0.3458366666666665,0.0461,0.00015833333333333338
House6,2018-11-17 16:00:00,0.7996216666666668,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,5.83333333333333e-05,0.473595,0.09767833333333333,0.0002300000000000001
House6,2018-11-17 17:00:00,0.6571533333333331,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,0.0001016666666666667,0.3087716666666666,0.13350499999999998,0.0005016666666666666
House6,2018-11-17 18:00:00,0.5017016666666666,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,9.666666666666672e-05,0.2236733333333333,0.11936999999999998,0.0004766666666666672
