House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_BR_kW,AC_DR_kW,Kitchen_kW,UPS_kW
House19,2018-06-04 08:00:00,3.583066666666667,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0006516666666666665,0.0010166666666666668,0.17291833333333334,0.10613000000000004
House19,2018-06-04 09:00:00,3.2682383333333336,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0006266666666666664,0.0007016666666666673,0.15686833333333325,0.15308166666666664
House19,2018-06-04 10:00:00,3.8808,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.00018166666666666654,2.3757883333333334,0.235925,0.4093216666666665
House19,2018-06-04 11:00:00,4.138184999999999,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0001783333333333333,2.6990283333333336,0.2166533333333333,0.4415566666666667
House19,2018-06-04 12:00:00,4.131246666666667,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0003016666666666665,1.919105000000001,0.32927333333333325,0.4257833333333333
House19,2018-06-04 13:00:00,0.7139966666666658,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,4.666666666666667e-05,0.4792949999999994,0.07975000000000011,0.08005833333333304
House19,2018-06-04 14:00:00,4.78856,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,1.285065,2.121446666666666,0.33821500000000004,0.5907466666666664
House19,2018-06-04 15:00:00,5.277411666666667,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,2.164135,0.08633833333333332,0.30368666666666666,0.5128750000000001
House19,2018-06-04 16:00:00,5.317395000000002,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,2.0972133333333334,0.00015833333333333327,0.2099433333333334,0.34297
House19,2018-06-04 17:00:00,4.841161666666666,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,1.5159566666666675,1.6450566666666666,0.2861933333333333,0.2775483333333334
House19,2018-06-04 18:00:00,4.522711666666668,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0004000000000000001,2.542476666666666,1.5457899999999996,0.17017999999999994
House19,2018-06-04 19:00:00,4.207270000000002,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0002166666666666665,2.6833000000000005,1.0332450000000002,0.25827999999999995
House19,2018-06-04 20:00:00,2.3996166666666667,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.00016833333333333332,1.2100250000000012,0.4134916666666666,0.3979416666666667
House19,2018-06-04 21:00:00,0.9935233333333334,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0002149999999999999,0.0002566666666666665,0.3923366666666668,0.3221116666666665
House19,2018-06-04 22:00:00,0.8631849999999999,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0003600000000000003,0.0006050000000000003,0.3813066666666666,0.2612033333333333
