House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_BR_kW,Kitchen_kW,LR_kW,AC_BR_kW.1
House15,2018-06-04 11:00:00,2.2538983333333333,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.9850933333333332,0.3733366666666666,0.0012666666666666668,0.0008300000000000003
House15,2018-06-04 12:00:00,2.746189999999999,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,1.2409966666666667,0.4702016666666667,0.0015383333333333332,0.0010216666666666664
House15,2018-06-04 13:00:00,1.8201849999999995,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.33231500000000025,0.4803416666666667,0.10229500000000001,0.0011716666666666668
House15,2018-06-04 14:00:00,3.186781666666667,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.01705333333333333,0.504355,0.202175,0.0011349999999999995
House15,2018-06-04 15:00:00,0.15529166666666674,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.05556000000000004,0.014688333333333326,0.00534166666666666,2e-05
House15,2018-06-04 16:00:00,5.11609,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,1.624301666666666,0.492255,0.09749333333333332,0.0009250000000000004
House15,2018-06-04 17:00:00,2.587993333333334,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.0026199999999999986,0.5100000000000001,0.16000333333333336,0.0008650000000000001
House15,2018-06-04 18:00:00,1.9068966666666671,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.0028166666666666674,0.54786,0.19188666666666665,0.0010216666666666664
House15,2018-06-04 19:00:00,0.02410000000000001,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.0,0.0075999999999999965,0.0029000000000000037,0.0
House15,2018-06-04 20:00:00,2.0072666666666668,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.0026933333333333327,0.4624800000000001,0.10196666666666668,0.0007900000000000003
House15,2018-06-04 21:00:00,4.114146666666668,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.0012733333333333331,0.4941533333333332,0.13902333333333328,0.0020099999999999988
